Acronym,Projeto,Integrations
ctas,ctas-validar-aptidao-debito-parceiro-java , ctas-corp; original-legacy; tbgr-integration
ctas,ctas-lancamentos-a-efetivar-java , ctas-corp; original-legacy
ctas,ctas-enriquecedor-transacoes-java , ctas-corp; original-legacy
ctas,ctas-cmm-rest-java , acpf-integration;mcsv-integration;atcl-integration;cnio-corp;pgto-integration; original-legacy
ctas,ctas-saldo-java , ctas-corp;original-legacy;rtto-integration;tbgr-integration
ctas,ctas-solicita-encerramento-java , ctas-corp; ctas-integration; ctcr-integration; cdps-integration; rtto-integration; ceno-integration; fwcl-corp; intp-integration; original-legacy
ctas,ctas-ccs-batch-java , ctas-corp; original-legacy; ctas-integration
ctas,ctas-efetivar-credito-java , ctas-corp;original-legacy;cdps-integration;ctas-integration
ctas,ctas-efetivar-debito-java , ctas-corp;original-legacy;rtto-integration
fepw,fepw-manutencao-java , fepw-corp; fepw-integration
fepw,fepw-cmm-rest-java , acpf-integration;mcsv-integration;atcl-integration;cnio-corp;fepw-integration; original-legacy
parc,apio-canal-extratos-parceiro-java , ctas-corp; original-legacy; ctas-integration
parc,ctas-expurgo-mov-parceiro-batch-java , ctas-corp; original-legacy
parc,ctas-carga-movimento-parceiro-batch-java , ctas-corp; original-legacy
parc,mcsv-interno-consulta-parcelados-java , epat-integration; acpf-integration; mcsv-integration; atcl-integration; cnio-corp
parc,mcsv-pagamento-parcelado-java , mcsv-corp; mcsv-integration; empc-integration
parc,mcsv-contratacao-emprestimo-parcelado-java , empc-integration
parc,mcsv-consulta-emprestimo-parcelado-java , empc-integration; crpl-integration
parc,mcsv-simulacao-emprestimo-parcelado-java , empc-integration
parc,apio-boletos-parceiro-java , cbic-integration; parc-integration
parc,parc-dados-cadastrais-parcerias-java , parc-corp; original-legacy
parc,cdps-enriquecer-dados-tef-parcerias-java , cdps-corp; original-legacy
parc,mcsv-transferencia-parceiro-java , pgto-corp; original-legacy; pgto-integration
parc,ctas-validar-aptidao-debito-parceiro-java , ctas-corp; original-legacy; tbgr-integration
parc,parc-abertura-cadastro-java , parc-corp; original-legacy
parc,parc-callback-fila-saldo-java , parc-corp; original-legacy
parc,parc-campanha-abertura-cadastro-java , parc-corp; original-legacy
rtto,rtto-consultar-contrato-cheque-especial-java , rtto-corp; original-legacy
rtto,rtto-repactuacao-taxas-batch-java , rtto-corp; original-legacy; fwcl-corp
rtto,rtto-operacoes-renegociacao-java , fwcl-corp; original-legacy; rtto-corp; tbgr-integration; cdps-integration; crpl-integration; ctas-integration; rnco-integration
rtto,rtto-consultar-cheque-especial-java , rtto-corp; original-legacy
rtto,rtto-manutencao-limite-java , original-legacy; rtto-corp; rtto-integration
rtto,rtto-operacoes-java , mtpr-integration;rtto-corp;original-legacy
tbgr,tbgr-dominios-java , acpf-integration;mcsv-integration;atcl-integration;cnio-corp; ctas-integration; ctcr-integration; original-legacy; tbgr-corp
