Sigla,Projeto,Arquivo,URL
mcsv,mcsv-consulta-contrato-renegociado-java,CRPLClient.java,crpl.operacoes.clientes.java.url
mcsv,mcsv-interno-consultas-bpmo-java,CoholdersProspectionAttemptsFeignService.java,bpmo.incluir.cotitular.java.url
mcsv,mcsv-aprovacao-proposta-java,EmppConsultTransactionFeign.java,empp.consulta.transacoes.java.url
mcsv,mcsv-aprovacao-proposta-java,GedFeignClient.java,document.server.gateway.url
mcsv,mcsv-aprovacao-proposta-java,RenegotiationProposalFeign.java,rnco.aprovacao.proposta.java.url
mcsv,mcsv-consulta-contas-rewards-java,CustomerAccountFeignService.java,feign.orchestration.cdps.contas.clientes.java
mcsv,mcsv-consulta-contas-rewards-java,RewardsCustomersService.java,feign.orchestration.rewards.balance.client
mcsv,mcsv-cheque-especial-java,RttoConsultaChequeEspecialFeign.java,original.url.rtto.consultar.cheque.especial.java
mcsv,mcsv-carteira-cobranca-digital-java,GetDigitalWalletFeignService.java,cbic.carteira.cobranca.digital.java.url
mcsv,mcsv-topaz-java,ScoreFeign.java,pvfr.topaz.java.url
mcsv,mcsv-cobranca-lote-java,DownloadReturnFileFeignService.java,cbic.cobranca.lote.java.url
mcsv,mcsv-cobranca-lote-java,GetStatusReturnFileFeignService.java,cbic.cobranca.lote.java.url
mcsv,mcsv-cobranca-lote-java,GetTemplateFileFeignService.java,cbic.cobranca.lote.java.url
mcsv,mcsv-cobranca-lote-java,LayoutFebrabanFeignService.java,cbic.cobranca.lote.java.url
mcsv,mcsv-cobranca-lote-java,SearchStatusFileFeignService.java,cbic.cobranca.lote.java.url
mcsv,mcsv-cobranca-lote-java,UploadDocumentAntvFeignService.java,cbic.cobranca.lote.java.url
mcsv,mcsv-interno-consulta-grupos-relacionamento-java,GroupFeign.java,cdps.consulta.grupos.relacionamento.java.url
mcsv,mcsv-consulta-credito-pessoal-java,LoanLimitFeign.java,original.url.crpl.consulta-limites-java
mcsv,mcsv-relatorio-visitas-pvld-java,RelatorioVisitaFeign.java,original.url.relatorio.visitas
mcsv,mcsv-interno-atendimento-java,ObotHistoryFeignService.java,obot.historico.mensagens.java.url
mcsv,mcsv-interno-atendimento-java,ProtocolFeignService.java,ator.protocolos.java.url
mcsv,mcsv-pag-original-java,PagForFeignService.java,original.url.rest.pgto-pag-original
mcsv,mcsv-autenticacao-pj-java,AtclAuthenticationDocumentsFeign.java,url.atcl
mcsv,mcsv-autenticacao-pj-java,AuthSystemApiService.java,url.auth-system.path
mcsv,mcsv-autenticacao-pj-java,ValidateStepThreeFeign.java,url.step.three
mcsv,mcsv-autenticacao-pj-java,ValidateStepTwoFeign.java,url.step.two
mcsv,mcsv-credito-limites-java,CreditLimitFeign.java,original.url.glpf.limites.credito.java
mcsv,mcsv-proposta-java,CardFeignClient.java,ctcr.consulta.fatura.java.url
mcsv,mcsv-documentos-java,GedcConsultasServiceFeign.java,original.url.rest.gedc-consultas
mcsv,mcsv-documentos-java,GedcInclusaoServiceFeign.java,original.url.rest.gedc-inclusao
mcsv,mcsv-pagamento-faturas-java,InvoicePaymentFeignClient.java,rest.api.invoicepayments
mcsv,mcsv-interno-atualizacao-cadastral-java,MailConsumerFeign.java,cdps-atualizacao-dados-cadastrais-java.url
mcsv,mcsv-interno-atualizacao-cadastral-java,PhoneConsumerFeign.java,cdps-atualizacao-dados-cadastrais-java.url
mcsv,mcsv-permissao-optin-java,PermissionFeignService.java,intr.permissao.optin.java.url
mcsv,mcsv-interno-contato-cadastro-java,CdpsConsultInfoClientFeignService.java,cdps.consultar.informacoes.cliente.java.url
mcsv,mcsv-interno-contato-cadastro-java,CdpsContactFeignService.java,cdps.atualizar.contato.cadastro.java.url
mcsv,mcsv-interno-contato-cadastro-java,CdpsDomainsFeignService.java,cdps.dominios.java.url
mcsv,mcsv-interno-contato-cadastro-java,CdpsPhoneCompanyFeignService.java,cdps.pessoa.juridica.java.url
mcsv,mcsv-interno-contato-cadastro-java,CdpsPowersFeignService.java,cdps.poderes.java.url
mcsv,mcsv-notificacoes-inbox-java,CenoNotificacoesInboxFeign.java,original.url.ceno.notificacoes.inbox.java
mcsv,mcsv-interno-manifestacao-java,ManifestationFeignService.java,original.gmnf.manifestacao.url
mcsv,mcsv-liveness-appkey-java,AtclJwtApiService.java,atcl.autenticacao.area.nao.logada.java.url
mcsv,mcsv-liveness-appkey-java,AuthSystemApiService.java,atco.auth.sistemas.java.url
mcsv,mcsv-liveness-appkey-java,LivenessAppkeyApiService.java,atad.esqueci.minha.senha.java.url
mcsv,mcsv-liveness-appkey-java,LivenessChallengeApiService.java,retr.desafios.liveness.java.url
mcsv,mcsv-interno-informe-rendimentos-java,DocumentRestServiceFeign.java,mcsv.interno.documentos.java.url
mcsv,mcsv-interno-informe-rendimentos-java,DocumentServiceFeign.java,original.url.rest.document
mcsv,mcsv-interno-informe-rendimentos-java,IncomeReportServiceFeign.java,fisca.consultas.java.url
mcsv,mcsv-autenticacao-area-nao-logada-java,AtclAuthenticateApiService.java,url.atcl-autenticacao-pj-java.base.path
mcsv,mcsv-autenticacao-area-nao-logada-java,AtclJwtApiService.java,url.atcl-autenticacao-area-nao-logada-java.path
mcsv,mcsv-autenticacao-area-nao-logada-java,AuthSystemApiService.java,url.auth-system.path
mcsv,mcsv-autenticacao-area-nao-logada-java,CenoApiService.java,ceno.endpoint
mcsv,mcsv-autenticacao-area-nao-logada-java,ClbkTransactionsApiService.java,clbk.url
mcsv,mcsv-autenticacao-area-nao-logada-java,CustomerInfoApiService.java,cdps.consultar.informacoes.endpoint
mcsv,mcsv-interno-consultas-callback-java,CallbackFeingService.java,clbk.gerenciamento.java.url
mcsv,mcsv-interno-analise-callback-java,CallbackFeingService.java,clbk.gerenciamento.java.url
mcsv,mcsv-interno-consultas-pix-java,AccountFeignService.java,ctas.cmm.rest.java.url
mcsv,mcsv-interno-consultas-pix-java,PaymentReceiptsFeignService.java,pgto.comprovantes.pagamentos.java.url
mcsv,mcsv-interno-consultas-pix-java,PaymentReceiptsPstiFeignService.java,original.url.payment-receipts.psti.base
mcsv,mcsv-interno-consultas-pix-java,PixAccessKeyFeignService.java,intp.orquestrador.dict.java.url
mcsv,mcsv-interno-consultas-pix-java,StatusFeignService.java,pgto.status.pagamentos.java.url
mcsv,mcsv-interno-capital-giro-java,AdditionFeignService.java,propertyConfig.getUrlAddition(
mcsv,mcsv-interno-capital-giro-java,ContractConsultationFeignService.java,empp.consulta.transacoes.java.url
mcsv,mcsv-interno-capital-giro-java,ContractFeignService.java,empp.contratacao.pj.java.url
mcsv,mcsv-interno-capital-giro-java,EmppInstallmentPaymentsFeignService.java,empp.pagamentos.parcelado.pj.java.url
mcsv,mcsv-interno-capital-giro-java,InsuranceSimulationFeignService.java,cosg.vayon.seguros.java.url
mcsv,mcsv-interno-capital-giro-java,SimulationFeignService.java,empp.simular.pj.java.url
mcsv,mcsv-interno-cobranca-digital-java,StandardAccountsRestFeingService.java,cbic.cobranca.expressa.java.url
mcsv,mcsv-interno-positivacao-cliente-java,AuthFeignService.java,atcl.auth.corporate.java.url"
mcsv,mcsv-interno-investimentos-java,CustomerInvestmentFeignService.java,inve.suitability.java.url
mcsv,mcsv-interno-investimentos-java,FixedIncomeFeingService.java,inve.produtos.java.url
mcsv,mcsv-interno-investimentos-java,FixedIncomeV2FeingService.java,tsbo.consulta.investimentos.java.url
mcsv,mcsv-interno-investimentos-java,FundsFeingService.java,fdos.consulta.investimentos.java.url
mcsv,mcsv-interno-seguros-java,InsuranceCardFeignService.java,cosg.cmm.rest.java.url
mcsv,mcsv-interno-seguros-java,InsuranceFeignService.java,cosg.cmm.rest.java.url
mcsv,mcsv-parametrizacao-rewards-java,PointsManagementParametersFeignClient.java,url.score.range.parameters
mcsv,mcsv-parametrizacao-rewards-java,ScoreRangeParametersFeignClient.java,url.score.range.parameters
mcsv,mcsv-interno-prospects-java,ContactServiceFeign.java,meta.contatos.java.url
mcsv,mcsv-interno-prospects-java,DocumentServiceFeign.java,reip.prospects.java.url
mcsv,mcsv-interno-prospects-java,ProspectServiceFeign.java,reip.prospects.java.url
mcsv,mcsv-interno-contatos-java,ContactServiceFeign.java,meta.contatos.java.url
mcsv,mcsv-interno-contatos-java,ContactWholesaleServiceFeign.java,meta.servicos.java.url
mcsv,mcsv-interno-contatos-java,ProspectServiceFeign.java,mcsv.interno.prospects.java.url
mcsv,mcsv-interno-pagamentos-java,ElectronicBillFeignService.java,pgto.cmm.rest.java.url
mcsv,mcsv-interno-pagamentos-java,FavoredFeignService.java,pgto.cmm.rest.java.url
mcsv,mcsv-interno-pagamentos-java,PaymentBankFeignService.java,pgto.cmm.rest.java.url
mcsv,mcsv-interno-pagamentos-java,PaymentFeignService.java,original.url.payment.url.base
mcsv,mcsv-interno-pagamentos-java,PixReceiptFeignService.java,pgto.comprovantes.pagamentos.java.url
mcsv,mcsv-interno-pagamentos-java,ReceiptFeignService.java,pgto.cmm.rest.java.url
mcsv,mcsv-interno-pagamentos-java,SchedulesFeignService.java,pgto.cmm.rest.java.url
mcsv,mcsv-interno-gestao-limite-credito-java,CreditManagementCMMFeignService.java,glcr.cmm.rest.java.url
mcsv,mcsv-interno-gestao-limite-credito-java,EmppConsultaEmprestimoCorrentistaFeignService.java,empp.consultas.emprestimo.correntista.java.url
mcsv,mcsv-interno-gestao-limite-credito-java,IncreaseOperationValidationFeignService.java,glpf.validacoes.aumento.operacoes.java.url
mcsv,mcsv-interno-gestao-limite-credito-java,SubLimitsFeingService.java,glpf.consulta.limites.java.url
mcsv,mcsv-cadastro-pep-fatca-java,AcadCadastroPepFatcaRestService.java,original.url.rest.acad-cadastro-pep-fatca
mcsv,mcsv-cadastro-pep-fatca-java,AuthenticateUserRestService.java,original.url.rest.acad-authenticate-user
mcsv,mcsv-cadastro-pep-fatca-java,CdpsCadastroPepFatcaRestService.java,original.url.rest.cdps-cadastro-pep-fatca
mcsv,mcsv-interno-contas-java,AccountBalanceFeignService.java,ctas.saldo.java.url
mcsv,mcsv-interno-contas-java,AccountCMMFeignService.java,ctas.cmm.rest.java.url
mcsv,mcsv-interno-contas-java,AccountClosureFeignService.java,ctas.solicita.encerramento.java.url
mcsv,mcsv-interno-contas-java,AccountClosureTypesFeignService.java,original.url.rest.ctas.dominios
mcsv,mcsv-interno-contas-java,CustomerOperationsFeignService.java,cdps.operacoes.clientes.java.url
mcsv,mcsv-interno-contas-java,DepositCMMFeignService.java,ctas.cmm.rest.java.url
mcsv,mcsv-abertura-conta-java,LgpdFeignService.java,lgpd.manifestacao.java.url
mcsv,mcsv-abertura-conta-java,AuthSystemApiService.java,atco.auth.sistemas.java.url
mcsv,mcsv-abertura-conta-java,ProviderFeignService.java,reip.cadastro.pf.java.url
mcsv,mcsv-token-atendimento-java,ConsultTokenLinOtpRestFeingService.java,original.url.rest.token.atkn.consult
mcsv,mcsv-token-atendimento-java,ConsultTokenRestFeingService.java,original.url.rest.token.consult
mcsv,mcsv-token-atendimento-java,MaintenanceTokenLinOtpRestFeingService.java,original.url.rest.token.atkn.consult
mcsv,mcsv-token-atendimento-java,MaintenanceTokenRestFeingService.java,original.url.rest.token.maintenance
mcsv,mcsv-interno-tarefas-ofertas-java,AcquisitionTaskFeignService.java,original.url.rest.agenda}/acquisitions"
mcsv,mcsv-interno-tarefas-ofertas-java,ArgumentDomainsFeignService.java,original.url.rest.agenda}/arguments/domains"
mcsv,mcsv-interno-tarefas-ofertas-java,ArgumentFeignService.java,original.url.rest.agenda}/arguments"
mcsv,mcsv-interno-tarefas-ofertas-java,CustomerFeignService.java,original.url.rest.agenda}/customers"
mcsv,mcsv-interno-tarefas-ofertas-java,ManagerTaskFeignService.java,original.url.rest.agenda}/management"
mcsv,mcsv-interno-tarefas-ofertas-java,SegmentServiceFeign.java,cdps.segmentos.java.url}/v1/segments"
mcsv,mcsv-interno-tarefas-ofertas-java,TaskChannelFeignService.java,original.url.rest.ofer}/tasks-channel"
mcsv,mcsv-interno-tarefas-ofertas-java,TaskFeignService.java,original.url.rest.ofer}/tasks"
mcsv,mcsv-interno-tarefas-ofertas-java,TaskGroupFeignService.java,original.url.rest.ofer}/tasks-group"
mcsv,mcsv-interno-agenda-comercial-java,CommercialAgendaFeignService.java,ofer.agenda.comercial.java.url
mcsv,mcsv-interno-agenda-comercial-java,ConsultCustomerInformationFeignService.java,cdps.consultar.informacoes.cliente.java.url
mcsv,mcsv-interno-agenda-comercial-java,HotTriggerFeignService.java,ofer.agenda.comercial.java.url}/v1/hot-triggers"
mcsv,mcsv-interno-agenda-comercial-java,ReschedulingsFeignService.java,ofer.agenda.comercial.java.url}/v1/reschedulings"
mcsv,mcsv-interno-agenda-comercial-java,TaskFeignService.java,ofer.agenda.comercial.java.url
mcsv,mcsv-clientes-java,CdpsContasClientesFeign.java,original.url.cdps.contas.clientes.java
mcsv,mcsv-clientes-java,CdpsOperacoesClientesFeign.java,original.url.cdps.operacoes.clientes.java
mcsv,mcsv-clientes-java,CreditLimitFeign.java,original.url.glpf.limites.credito.java
mcsv,mcsv-clientes-java,CtaSaldoFeign.java,original.url.cta.saldo.java
mcsv,mcsv-clientes-java,LoginFeign.java,original.url.login.java
mcsv,mcsv-interno-retencao-callback-java,CallbackClbkFeingService.java,clbk.gerenciamento.java.url
mcsv,mcsv-interno-retencao-callback-java,ChallengeFeignService.java,retr.desafios.callback.java.url
mcsv,mcsv-interno-retencao-callback-java,PaymentDetailsFeingService.java,pgto.codigo.barras.java.v1.url
mcsv,mcsv-interno-retencao-callback-java,RetainedTransactionFeignService.java,retr.retencao.transacoes.java.url
mcsv,mcsv-interno-retencao-callback-java,TransactionFeignService.java,alcd.transacoes.pf.java.url}/alcd/transactions-pf/"
mcsv,mcsv-rtto-cheque-empresarial-java,CetFeignClientService.java,url.api.cet
mcsv,mcsv-rtto-cheque-empresarial-java,CreditLimitFeignClientService.java,url.api.limit
mcsv,mcsv-rtto-cheque-empresarial-java,DocumentFeignClientService.java,gedc.consultas.java.url
mcsv,mcsv-rtto-cheque-empresarial-java,OperationChargesFeignClientService.java,url.api.operation
mcsv,mcsv-rtto-cheque-empresarial-java,OperationFeignClientService.java,url.api.operation
mcsv,mcsv-rtto-cheque-empresarial-java,PricingRatingFeignClientService.java,url.api.pricing
mcsv,mcsv-rtto-cheque-empresarial-java,RetentionFeignClientService.java,url.api.retention
mcsv,mcsv-plat-cheque-empresarial-java,ContractingOperationsFeignClientService.java,url.api.rtto
mcsv,mcsv-interno-atividades-bpmo-java,TaskBPMFeignService.java,original.url.rest.bpm.task.url.base
mcsv,mcsv-interno-atividades-bpmo-java,TaskNativeBPMFeignService.java,original.url.rest.bpm.url.base
mcsv,mcsv-capital-giro-java,AccountsCompaniesFeign.java,cbic.cobranca.expressa.java.url
mcsv,mcsv-capital-giro-java,DigitalWalletFeign.java,cbic.carteira.cobranca.digital.java.url
mcsv,mcsv-capital-giro-java,InsuranceSimulationFeign.java,cosg.vayon.seguros.java.url
mcsv,mcsv-capital-giro-java,ReceivablesCardsConsultFeign.java,intr.contrato.recebiveis.cartoes.java-url
mcsv,mcsv-capital-giro-java,ReceivablesCardsFeign.java,intr.permissao.optin.java.url
mcsv,mcsv-capital-giro-java,SlipSearchesFeign.java,cbic.boletos.java.url
mcsv,mcsv-pagamentos-java,ScheduledFeingService.java,original.url.payments.url.base
mcsv,mcsv-interno-credito-java,CdpsSegmentsFeignService.java,cdps.segmentos.java.url
mcsv,mcsv-interno-credito-java,CreditDecisionsRestFeingService.java,glpj.orq.parecer.callback.pendencia.java.url
mcsv,mcsv-interno-credito-java,CreditLimitPortifolizedFeingService.java,glcr.limites.java.url
mcsv,mcsv-interno-credito-java,CreditSituationRestFeignClient.java,glpj.orq.abertura.proposta.credito.java.url
mcsv,mcsv-interno-credito-java,DocumentCaptureFeignService.java,glpj.captura.documentos.java.url
mcsv,mcsv-interno-credito-java,GedSearchesFeignService.java,gedc.consultas.java.url
mcsv,mcsv-interno-credito-java,OpenProposalRestFeingService.java,glpj.orq.abertura.proposta.credito.java.url
mcsv,mcsv-interno-credito-java,ProposalRestFeingService.java,original.url.rest.credit.proposal
mcsv,mcsv-interno-credito-java,ProposalSearchesRestFeignService.java,glpj.propostas.java.url
mcsv,mcsv-interno-credito-java,SuitabilityRestFeignService.java,original.url.rest.suitability.credit
mcsv,mcsv-interno-documentos-java,DeleteDocumentFeign.java,gedc.inclusao.manutencao.java.url
mcsv,mcsv-interno-documentos-java,DocumentServiceFeign.java,original.url.rest.document
mcsv,mcsv-interno-documentos-java,GedConsultasClient.java,gedc.consultas.java.url
mcsv,mcsv-interno-documentos-java,GedcConsultasServiceFeign.java,gedc.consultas.java.url
mcsv,mcsv-interno-documentos-java,GlpjCapturaDocumentosClient.java,glpj.captura.documentos.java.url
mcsv,mcsv-interno-documentos-java,IncludeDocumentFeign.java,gedc.inclusao.manutencao.java.url
mcsv,mcsv-interno-gerentes-java,ActualStatusProspectCMMFeignService.java,meta.servicos.java.url
mcsv,mcsv-interno-gerentes-java,BusinessDateCMMFeignService.java,meta.servicos.java.url
mcsv,mcsv-interno-gerentes-java,ContactCorporateCMMFeignService.java,meta.servicos.java.url
mcsv,mcsv-interno-gerentes-java,CustomerCDPSFeignService.java,cdps.officer.java.url
mcsv,mcsv-interno-gerentes-java,CustomerCMMFeignService.java,meta.servicos.java.url
mcsv,mcsv-interno-gerentes-java,CustomerInfoCdpsFeignService.java,cdps.consultar.informacoes.cliente.java.url
mcsv,mcsv-interno-gerentes-java,HierarchyCMMFeignService.java,meta.servicos.java.url
mcsv,mcsv-interno-gerentes-java,NotificationCMMFeignService.java,meta.servicos.java.url
mcsv,mcsv-interno-gerentes-java,OfficerCDPSFeignService.java,cdps.officer.java.url
mcsv,mcsv-interno-gerentes-java,OfficerContactCMMFeignService.java,meta.servicos.java.url
mcsv,mcsv-interno-gerentes-java,ProspectCMMFeignService.java,meta.servicos.java.url
mcsv,mcsv-interno-gerentes-java,StatusProspectCMMFeignService.java,meta.servicos.java.url
mcsv,mcsv-interno-gerentes-java,VerticalBusinessCMMFeignService.java,meta.servicos.java.url
mcsv,mcsv-interno-gerentes-java,VerticalBusinessHierarchyCMMFeignService.java,meta.servicos.java.url
mcsv,mcsv-interno-gerentes-java,WholesaleProspectCMMFeignService.java,meta.servicos.java.url
mcsv,mcsv-interno-cadastro-java,AddressFeignService.java,cdps.cmm.rest.java.url
mcsv,mcsv-interno-cadastro-java,CustomerCmmFeign.java,meta.servicos.java.url
mcsv,mcsv-interno-cadastro-java,CustomerProspectSuppliersFeignService.java,original.url.rest.prospect.suppliers
mcsv,mcsv-interno-cadastro-java,CustomerQueryInfoFeignService.java,cdps.consultar.informacoes.cliente.java.url
mcsv,mcsv-interno-cadastro-java,CustomerRestrictionFeignService.java,cdps.verificar.cliente.java.url
mcsv,mcsv-interno-cadastro-java,EmailFeignService.java,cdps.cmm.rest.java.url
mcsv,mcsv-interno-cadastro-java,KycFeignService.java,original.url.rest.visit-report-kyc.base
mcsv,mcsv-interno-cadastro-java,LocalityFeignService.java,cdps.cmm.rest.java.url
mcsv,mcsv-interno-cadastro-java,ProspectRestService.java,reip.prospects.java.url
mcsv,mcsv-interno-cadastro-java,TelephoneFeignService.java,cdps.cmm.rest.java.url
